Words,Frequency,Rank
the,4844,1
and,4672,2
was,2385,3
her,2381,4
not,2101,5
she,1778,6
that,1730,7
you,1677,8
had,1606,9
for,1321,10
have,1301,11
with,1187,12
very,1151,13
but,1148,14
his,1088,15
Emma,865,16
all,835,17
could,825,18
would,815,19
been,759,20
him,758,21
Mrs,699,22
any,651,23
Miss,592,24
were,591,25
must,564,26
She,562,27
will,559,28
which,552,29
from,535,30
Harriet,506,31
said,484,32
much,478,33
more,464,34
are,447,35
such,440,36
Weston,439,37
what,434,38
them,432,39
there,420,40
this,418,41
than,415,42
one,413,43
every,398,44
thing,398,45
they,392,46
Knightley,389,47
Elton,385,48
think,380,49
should,366,50
The,357,51
being,356,52
little,354,53
never,347,54
good,340,55
your,337,56
know,337,57
did,335,58
only,327,59
might,322,60
well,315,61
Woodhouse,313,62
when,312,63
say,308,64
You,303,65
own,301,66
Jane,301,67
their,297,68
But,293,69
who,281,70
herself,279,71
now,273,72
time,272,73
can,270,74
quite,269,75
how,263,76
great,263,77
too,253,78
some,248,79
about,246,80
most,243,81
has,243,82
before,243,83
Fairfax,241,84
nothing,237,85
always,235,86
man,233,87
thought,226,88
And,224,89
Churchill,223,90
soon,221,91
see,220,92
other,220,93
again,219,94
dear,217,95
may,213,96
out,212,97
shall,212,98
without,211,99
first,209,100
Frank,208,101
father,207,102
sure,204,103
made,199,104
like,199,105
body,193,106
day,190,107
young,190,108
ever,189,109
indeed,181,110
friend,177,111
two,171,112
though,169,113
better,166,114
into,163,115
Hartfield,160,116
just,159,117
come,159,118
give,157,119
way,155,120
really,153,121
make,152,122
then,150,123
Bates,148,124
They,148,125
himself,146,126
having,145,127
rather,145,128
long,144,129
hope,143,130
done,142,131
seemed,141,132
after,140,133
over,139,134
cannot,138,135
away,138,136
wish,134,137
upon,133,138
many,133,139
here,133,140
home,130,141
enough,129,142
woman,129,143
There,129,144
mind,128,145
Highbury,125,146
does,125,147
happy,122,148
even,122,149
moment,120,150
heard,120,151
last,119,152
came,119,153
its,118,154
going,118,155
room,117,156
love,117,157
half,116,158
look,116,159
take,116,160
pleasure,114,161
however,114,162
felt,113,163
while,113,164
sort,112,165
morning,110,166
letter,109,167
still,109,168
How,108,169
This,108,170
saw,108,171
another,106,172
poor,106,173
few,106,174
yet,106,175
something,105,176
myself,102,177
What,102,178
feelings,102,179
same,102,180
believe,101,181
hear,100,182
idea,100,183
off,99,184
speak,99,185
doubt,98,186
subject,97,187
party,96,188
evening,96,189
feel,95,190
house,95,191
till,95,192
ought,94,193
word,94,194
people,93,195
place,92,196
found,92,197
right,92,198
deal,92,199
looked,91,200
John,90,201
often,90,202
Randalls,90,203
certainly,90,204
present,89,205
Smith,89,206
want,89,207
our,89,208
coming,89,209
knew,88,210
Her,88,211
Yes,88,212
those,87,213
almost,87,214
Well,86,215
visit,86,216
Martin,85,217
old,85,218
best,85,219
least,85,220
possible,84,221
both,83,222
hour,83,223
once,82,224
friends,82,225
kind,82,226
together,81,227
world,81,228
cried,81,229
perhaps,81,230
life,80,231
else,80,232
Perry,80,233
suppose,80,234
gone,79,235
replied,79,236
told,78,237
family,77,238
given,77,239
whole,76,240
That,76,241
happiness,76,242
obliged,76,243
manner,75,244
wanted,75,245
find,74,246
seen,73,247
tell,73,248
ill,72,249
lady,72,250
mother,72,251
able,72,252
side,71,253
hardly,71,254
where,71,255
whom,71,256
opinion,71,257
between,71,258
down,70,259
far,70,260
looking,69,261
Isabella,69,262
carriage,69,263
less,68,264
wife,68,265
understand,68,266
three,68,267
left,68,268
back,67,269
short,67,270
person,67,271
get,67,272
part,66,273
heart,66,274
ready,66,275
talked,66,276
pretty,66,277
towards,65,278
afraid,65,279
extremely,65,280
perfectly,65,281
comfort,65,282
let,64,283
situation,64,284
general,64,285
answer,64,286
began,64,287
spirits,64,288
sir,63,289
put,63,290
nor,63,291
since,63,292
set,63,293
marry,63,294
next,63,295
therefore,62,296
daughter,62,297
either,61,298
Cole,61,299
sorry,61,300
whether,61,301
change,61,302
course,61,303
under,61,304
through,61,305
talk,60,306
others,60,307
things,60,308
thinking,60,309
known,60,310
true,60,311
Goddard,59,312
superior,59,313
account,59,314
mean,59,315
longer,59,316
attention,59,317
children,59,318
dare,59,319
assure,59,320
bad,58,321
taken,58,322
equal,57,323
years,57,324
His,57,325
aunt,56,326
making,56,327
degree,56,328
yourself,56,329
sense,56,330
state,56,331
return,56,332
feeling,56,333
passed,55,334
name,55,335
walk,55,336
business,54,337
brother,54,338
cold,54,339
gave,54,340
nobody,54,341
leave,54,342
brought,54,343
imagine,53,344
because,53,345
minutes,53,346
hand,53,347
manners,52,348
talking,52,349
beyond,52,350
walked,52,351
bear,51,352
natural,51,353
When,51,354
directly,51,355
care,51,356
eyes,51,357
point,51,358
satisfied,51,359
seeing,51,360
saying,51,361
usual,51,362
among,51,363
exactly,51,364
Campbell,51,365
Very,51,366
agreeable,50,367
read,50,368
affection,50,369
glad,50,370
days,50,371
rest,50,372
words,49,373
Such,49,374
Donwell,49,375
used,49,376
appeared,49,377
wonder,49,378
Taylor,48,379
wished,48,380
means,48,381
these,48,382
society,48,383
attachment,48,384
dinner,47,385
voice,47,386
interest,47,387
girl,47,388
allow,47,389
pleased,47,390
door,47,391
took,47,392
each,46,393
against,46,394
went,46,395
near,46,396
giving,46,397
speaking,46,398
believed,46,399
son,46,400
likely,46,401
remember,45,402
already,45,403
walking,45,404
doing,45,405
air,45,406
London,45,407
Dixon,44,408
married,44,409
farther,44,410
smile,44,411
called,44,412
strong,44,413
full,44,414
meant,43,415
hoped,43,416
regard,43,417
ask,43,418
character,43,419
stay,43,420
ladies,42,421
proper,42,422
need,42,423
different,42,424
spoke,42,425
night,41,426
power,41,427
reason,41,428
real,41,429
call,41,430
respect,41,431
afterwards,41,432
five,41,433
fine,41,434
themselves,40,435
open,40,436
expected,40,437
kindness,40,438
sitting,40,439
allowed,40,440
early,40,441
beginning,40,442
head,40,443
particular,40,444
end,40,445
nature,40,446
One,39,447
delightful,39,448
help,39,449
returned,39,450
round,39,451
fond,39,452
entirely,39,453
weather,39,454
whose,39,455
Not,39,456
health,39,457
question,39,458
creature,39,459
pleasant,39,460
settled,39,461
object,39,462
meeting,39,463
child,38,464
letters,38,465
fancy,38,466
sit,38,467
fortune,38,468
continued,38,469
use,38,470
met,38,471
wrong,38,472
bring,38,473
Colonel,38,474
asked,38,475
impossible,38,476
thoughts,38,477
Every,37,478
added,37,479
sat,37,480
yes,37,481
sometimes,37,482
surprize,37,483
engaged,37,484
truth,37,485
handsome,37,486
convinced,37,487
seem,37,488
probably,36,489
meaning,36,490
determined,36,491
consider,36,492
Now,36,493
Enscombe,36,494
forward,36,495
received,36,496
new,36,497
temper,36,498
got,36,499
appear,36,500
necessary,36,501
please,35,502
company,35,503
taste,35,504
large,35,505
news,35,506
gentleman,35,507
supposed,35,508
morrow,34,509
common,34,510
husband,34,511
marriage,34,512
amiable,34,513
obliging,34,514
pain,33,515
perfect,33,516
acquainted,33,517
why,33,518
wanting,33,519
sister,33,520
evil,33,521
sent,33,522
excellent,33,523
absolutely,32,524
ago,32,525
keep,32,526
hearing,32,527
dancing,32,528
meet,32,529
matter,32,530
surprized,32,531
neither,32,532
match,32,533
Robert,32,534
face,32,535
says,31,536
case,31,537
persuaded,31,538
spoken,31,539
Abbey,31,540
except,31,541
begin,31,542
danger,31,543
praise,31,544
Maple,31,545
eye,31,546
compliment,31,547
engagement,31,548
smiling,31,549
yesterday,31,550
Grove,31,551
second,31,552
ball,31,553
resolution,31,554
With,30,555
worth,30,556
months,30,557
small,30,558
fair,30,559
knows,30,560
Poor,30,561
twenty,30,562
anxious,30,563
drawing,30,564
warm,30,565
pass,30,566
serious,30,567
difference,30,568
papa,30,569
appearance,30,570
difficulty,30,571
followed,29,572
greater,29,573
within,29,574
cheerful,29,575
merely,29,576
gratitude,29,577
turned,29,578
judgment,29,579
delighted,29,580
men,29,581
greatest,29,582
beauty,29,583
attentions,29,584
week,29,585
looks,29,586
four,29,587
charming,29,588
resolved,28,589
times,28,590
shew,28,591
occasion,28,592
worse,28,593
ten,28,594
forget,28,595
taking,28,596
turn,28,597
ashamed,28,598
easy,28,599
year,28,600
curiosity,28,601
clever,27,602
happened,27,603
advantage,27,604
decided,27,605
parties,27,606
style,27,607
spirit,27,608
conduct,27,609
Your,27,610
notice,27,611
companion,27,612
alone,27,613
loved,27,614
table,27,615
view,27,616
honour,27,617
actually,27,618
none,27,619
mentioned,26,620
late,26,621
odd,26,622
marrying,26,623
completely,26,624
Upon,26,625
knowing,26,626
fortunate,26,627
pity,26,628
knowledge,26,629
For,26,630
excuse,26,631
certain,26,632
sight,26,633
friendship,26,634
Let,26,635
aware,26,636
tried,26,637
Campbells,26,638
plan,26,639
favour,26,640
regret,26,641
horses,25,642
led,25,643
quarter,25,644
Crown,25,645
distance,25,646
vain,25,647
instrument,25,648
sad,25,649
struck,25,650
hours,25,651
sake,25,652
judge,25,653
sensible,25,654
guess,25,655
quiet,25,656
lived,25,657
attached,25,658
pay,25,659
behaviour,25,660
mine,25,661
silent,25,662
comes,24,663
tone,24,664
gentlemen,24,665
influence,24,666
also,24,667
tea,24,668
admiration,24,669
fact,24,670
generally,24,671
event,24,672
highly,24,673
hurry,24,674
music,24,675
written,24,676
spite,24,677
entered,24,678
country,24,679
especially,24,680
justice,24,681
standing,24,682
seems,24,683
turning,24,684
write,24,685
instead,24,686
thank,24,687
became,23,688
note,23,689
favourite,23,690
chuse,23,691
send,23,692
town,23,693
hands,23,694
join,23,695
summer,23,696
due,23,697
trying,23,698
loss,23,699
scheme,23,700
purpose,23,701
Dear,23,702
self,23,703
thinks,23,704
beautiful,23,705
understood,23,706
Henry,23,707
blush,22,708
proof,22,709
Eltons,22,710
answered,22,711
elegant,22,712
observed,22,713
mistaken,22,714
couple,22,715
enjoyment,22,716
plain,22,717
caught,22,718
quick,22,719
whenever,22,720
age,22,721
telling,22,722
claims,22,723
rain,22,724
altogether,22,725
Why,22,726
William,22,727
pleasing,22,728
service,22,729
sweet,22,730
kept,22,731
work,22,732
dance,22,733
wait,22,734
pianoforte,22,735
Indeed,21,736
disposed,21,737
hopes,21,738
safe,21,739
scarcely,21,740
stand,21,741
likeness,21,742
weeks,21,743
picture,21,744
delight,21,745
try,21,746
invitation,21,747
lately,21,748
duty,21,749
After,21,750
secret,21,751
suspect,21,752
useful,21,753
deserve,21,754
observe,21,755
Here,21,756
command,21,757
spent,21,758
uncle,21,759
lost,21,760
promise,21,761
