,Band_Name,Album_Name,average_score
5300,Uncork,Anaclasis: A Haunting Gospel of Malice & Hatred,0.9675
1352,Loathsome Ritual,Realm of Chaos: Slaves to Darkness,0.9405263157894738
7242,Before God,Blod-draum,0.9387500000000001
5852,Warfire,Decimate Christendom,0.9337499999999999
7263,Belkant,Rise to Power,0.92625
1358,Loathsome Ritual,Those Once Loyal,0.9225000000000001
5766,Vow Dreams,Mondo Medicale,0.9164285714285715
13204,Sirventes,Uterovaginal Insertion of Extirpated Anomalies,0.91625
5848,Warfire,Upon the Throne of Apocalypse,0.915
3133,Raw Level,Slumber of Sullen Eyes,0.9149999999999999
