ID,Band_Name,Country,Band_Status,Band_Formation,Band_Genre,Band_Theme,Band_Active_Status
1,Aerosmith,United States,Active,1998,Rock,Anarchy,1998-present
2,Coldplay,United States,Active,2000,Alternative,Death| Gore| Undead,2000-present
3,Eagles,France,Changed name,1993,Rock,N/A,1993-2002
4,The Beatles,Australia,Unknown,1978,Alternative,N/A,1978-2005
5,U2,United States,Unknown,1992,Rock,Humanity| Life Experience,1992-?
6,Pink Floyd,Italy,Active,1982,Psychedelic,Death| Zombies| Religion| Horror,1982-2009
7,Porcupine Tree,Spain,Changed name,1999,Rock,Death| Life| Nature| Technology| Human Madness,1999-present
8,Gojira,Germany,Active,2000,Death Metal,N/A,2000-present
9,Megadeth,United States,Split-up,1999,Death Metal,Death| Destruction,1999-present
10,Led Zeppelin,United States,Changed name,1967,Rock,N/A,1967-1998
11,Pearl Jam,France,Split-up,1970,Rock,Esoteric,1970-1995
12,('M') Inc.,United States,Active,2009,Death Metal,N/A,2009-?
13,(sic),United States,Active,1993,Death Metal,N/A,1993-1996
14,.F.O.A.D.,France,Split-up,2009,Death Metal,Life and Death,2009-present
15,100 Suns,United States,Active,2004,Death Metal,N/A,2004-present
16,12 Days of Anarchy,United States,Split-up,1998,Death Metal,Anarchy,1998-2002
17,13th Cadaver,United States,Changed name,2006,Death Metal,Death| Gore| Undead,2006-?| ?-2007 (as Splatter the Cadaver)| 2008 (as Splatter the Cadaver)
18,A Dark Place,Australia,Unknown,2009,Death Metal,N/A,2009-?
19,A Dying Season,Mexico,Active,2010,Death Metal,N/A,2010-present
20,A Greed Science,Australia,Active,2009,Death Metal,Humanity| Life Experience,2009-present
21,A Life Less Alive,United States,Active,1997,Death Metal,Death| Zombies| Religion| Horror,1997-present
22,A Place for Murder,Italy,Active,2009,Death Metal,Death| Life| Nature| Technology| Human Madness,2009-2012| 2013-present
23,A Tomba Oberta,Spain,Active,2013,Death Metal,N/A,2013-present
24,A-Rise,Germany,Changed name,1999,Death Metal,Death| Destruction,1999-2013| 2013-present (as Sic Zone)
25,A.R.M.A.,Italy,Unknown,2008,Death Metal,N/A,2002-2008 (as Void Essence)| 2008-?
26,AAAAARGH! Bloody 2-Handed Chainaxe Blow,France,Unknown,1999,Death Metal,Esoteric,1999-?
27,Ab-Irato,Argentina,Active,N/A,Death Metal,Hate| Anti-religion,N/A
28,13th Cadaver,United States,Changed name,2006,Death Metal,Death| Gore| Undead,2006-?| ?-2007 (as Splatter the Cadaver)| 2008 (as Splatter the Cadaver)
